,n_components,accuracy
0,4,0.4108527131782946
1,8,0.4728682170542636
2,12,0.5116279069767442
3,16,0.599483204134367
4,20,0.6304909560723514
5,24,0.6976744186046512
6,28,0.7416020671834626
7,32,0.7183462532299741
8,36,0.7777777777777778
9,40,0.7648578811369509
10,44,0.772609819121447
11,48,0.7803617571059431
12,52,0.7700258397932817
13,56,0.7803617571059431
14,60,0.7648578811369509
15,64,0.7803617571059431
16,68,0.7881136950904393
17,72,0.7829457364341085
18,76,0.772609819121447
19,80,0.7700258397932817
20,84,0.7648578811369509
21,88,0.7596899224806202
22,92,0.7622739018087855
23,96,0.7622739018087855
24,100,0.7700258397932817
25,104,0.772609819121447
26,108,0.7777777777777778
27,112,0.7829457364341085
28,116,0.7829457364341085
29,120,0.7855297157622739
30,124,0.7751937984496124
31,128,0.7855297157622739
32,132,0.7803617571059431
33,136,0.7958656330749354
34,140,0.7829457364341085
35,144,0.7777777777777778
36,148,0.7700258397932817
37,152,0.7648578811369509
38,156,0.7777777777777778
39,160,0.7881136950904393
40,164,0.7855297157622739
41,168,0.7777777777777778
42,172,0.7906976744186046
43,176,0.7932816537467701
44,180,0.7984496124031008
45,184,0.7855297157622739
46,188,0.7829457364341085
47,192,0.7829457364341085
48,196,0.7906976744186046
49,200,0.7829457364341085
50,204,0.7777777777777778
51,208,0.7855297157622739
52,212,0.7648578811369509
53,216,0.772609819121447
54,220,0.7803617571059431
55,224,0.7881136950904393
56,228,0.7596899224806202
57,232,0.7803617571059431
58,236,0.772609819121447
59,240,0.7803617571059431
60,244,0.7700258397932817
61,248,0.7881136950904393
62,252,0.7777777777777778
63,256,0.7803617571059431
64,260,0.7803617571059431
65,264,0.7648578811369509
66,268,0.7855297157622739
67,272,0.7906976744186046
68,276,0.7700258397932817
69,280,0.7622739018087855
70,284,0.7803617571059431
71,288,0.7622739018087855
72,292,0.7777777777777778
73,296,0.7622739018087855
74,300,0.7622739018087855
75,304,0.772609819121447
76,308,0.7777777777777778
77,312,0.7571059431524548
78,316,0.7622739018087855
79,320,0.7700258397932817
80,324,0.7416020671834626
81,328,0.7416020671834626
82,332,0.7467700258397932
83,336,0.7416020671834626
84,340,0.7545219638242894
85,344,0.7545219638242894
86,348,0.7648578811369509
87,352,0.751937984496124
88,356,0.7596899224806202
89,360,0.7545219638242894
90,364,0.7416020671834626
91,368,0.7286821705426356
92,372,0.7493540051679587
93,376,0.7674418604651163
94,380,0.7312661498708011
95,384,0.7596899224806202
96,388,0.7416020671834626
97,392,0.7286821705426356
98,396,0.7571059431524548
99,400,0.7493540051679587
100,404,0.7312661498708011
101,408,0.7467700258397932
102,412,0.7390180878552972
103,416,0.7441860465116279
104,420,0.7441860465116279
105,424,0.7286821705426356
106,428,0.7338501291989664
107,432,0.7338501291989664
108,436,0.7390180878552972
109,440,0.7441860465116279
110,444,0.7131782945736435
111,448,0.7364341085271318
112,452,0.7338501291989664
113,456,0.7286821705426356
114,460,0.7183462532299741
115,464,0.7260981912144703
116,468,0.7131782945736435
117,472,0.7235142118863049
118,476,0.7338501291989664
119,480,0.7338501291989664
120,484,0.7260981912144703
121,488,0.7260981912144703
122,492,0.7312661498708011
123,496,0.7157622739018088
124,500,0.7286821705426356
125,504,0.7080103359173127
126,508,0.7157622739018088
127,512,0.7209302325581395
128,516,0.7157622739018088
129,520,0.7183462532299741
130,524,0.7260981912144703
131,528,0.7080103359173127
132,532,0.7209302325581395
133,536,0.7312661498708011
134,540,0.7131782945736435
135,544,0.6950904392764858
136,548,0.7054263565891473
137,552,0.710594315245478
138,556,0.6976744186046512
139,560,0.7157622739018088
140,564,0.710594315245478
141,568,0.7157622739018088
142,572,0.6976744186046512
143,576,0.6925064599483204
144,580,0.7002583979328165
145,584,0.7002583979328165
146,588,0.6976744186046512
147,592,0.6873385012919897
148,596,0.6950904392764858
149,600,0.6821705426356589
150,604,0.6873385012919897
151,608,0.6795865633074936
152,612,0.6718346253229974
153,616,0.6718346253229974
154,620,0.661498708010336
155,624,0.6821705426356589
156,628,0.6847545219638242
157,632,0.661498708010336
158,636,0.6718346253229974
159,640,0.6563307493540051
160,644,0.6563307493540051
161,648,0.6692506459948321
162,652,0.6434108527131783
163,656,0.6382428940568475
164,660,0.6408268733850129
165,664,0.6330749354005168
166,668,0.6537467700258398
167,672,0.6382428940568475
168,676,0.6382428940568475
169,680,0.6175710594315246
170,684,0.6201550387596899
171,688,0.6408268733850129
172,692,0.627906976744186
173,696,0.6098191214470284
174,700,0.6124031007751938
175,704,0.6201550387596899
176,708,0.6356589147286822
177,712,0.6304909560723514
178,716,0.6253229974160207
179,720,0.6149870801033591
180,724,0.627906976744186
181,728,0.6201550387596899
182,732,0.6124031007751938
183,736,0.6175710594315246
184,740,0.6253229974160207
185,744,0.6149870801033591
186,748,0.6304909560723514
187,752,0.6227390180878553
188,756,0.6253229974160207
189,760,0.6124031007751938
190,764,0.6124031007751938
191,768,0.6227390180878553
192,772,0.6098191214470284
193,776,0.6020671834625323
194,780,0.6227390180878553
195,784,0.6072351421188631
196,788,0.5968992248062015
197,792,0.627906976744186
198,796,0.6046511627906976
199,800,0.6124031007751938
200,804,0.6149870801033591
201,808,0.6227390180878553
202,812,0.6046511627906976
203,816,0.6046511627906976
204,820,0.58656330749354
205,824,0.58656330749354
206,828,0.5813953488372093
207,832,0.5891472868217055
208,836,0.5943152454780362
209,840,0.5891472868217055
210,844,0.5788113695090439
211,848,0.5736434108527132
212,852,0.5917312661498708
213,856,0.5736434108527132
214,860,0.5684754521963824
215,864,0.5736434108527132
216,868,0.5684754521963824
217,872,0.5581395348837209
218,876,0.5607235142118863
219,880,0.5658914728682171
220,884,0.5503875968992248
221,888,0.5684754521963824
222,892,0.5503875968992248
223,896,0.5555555555555556
224,900,0.5400516795865633
225,904,0.5426356589147286
226,908,0.5348837209302325
227,912,0.5426356589147286
228,916,0.5452196382428941
229,920,0.5400516795865633
230,924,0.5400516795865633
231,928,0.537467700258398
232,932,0.537467700258398
233,936,0.537467700258398
234,940,0.5219638242894057
235,944,0.5529715762273901
236,948,0.5271317829457365
237,952,0.5297157622739018
238,956,0.5142118863049095
239,960,0.5142118863049095
240,964,0.5193798449612403
241,968,0.4935400516795866
242,972,0.5116279069767442
243,976,0.5038759689922481
244,980,0.5116279069767442
245,984,0.5116279069767442
246,988,0.49870801033591733
247,992,0.4883720930232558
248,996,0.4909560723514212
249,1000,0.5090439276485789
250,1004,0.5090439276485789
251,1008,0.4935400516795866
252,1012,0.4909560723514212
253,1016,0.5038759689922481
254,1020,0.5116279069767442
255,1024,0.5038759689922481
256,1028,0.49870801033591733
257,1032,0.5038759689922481
258,1036,0.4935400516795866
259,1040,0.49870801033591733
260,1044,0.48578811369509045
261,1048,0.48578811369509045
262,1052,0.49870801033591733
263,1056,0.4909560723514212
264,1060,0.4754521963824289
265,1064,0.46770025839793283
266,1068,0.4754521963824289
267,1072,0.4728682170542636
268,1076,0.4780361757105943
269,1080,0.4728682170542636
270,1084,0.46511627906976744
271,1088,0.45478036175710596
272,1092,0.46770025839793283
273,1096,0.4599483204134367
274,1100,0.46511627906976744
275,1104,0.45219638242894056
276,1108,0.4573643410852713
277,1112,0.45219638242894056
278,1116,0.4573643410852713
279,1120,0.45219638242894056
280,1124,0.4392764857881137
281,1128,0.4573643410852713
282,1132,0.4470284237726098
283,1136,0.45219638242894056
284,1140,0.4444444444444444
285,1144,0.45478036175710596
286,1148,0.4444444444444444
287,1152,0.45219638242894056
288,1156,0.45478036175710596
289,1160,0.4496124031007752
290,1164,0.4392764857881137
291,1168,0.4418604651162791
292,1172,0.4418604651162791
293,1176,0.4418604651162791
294,1180,0.4444444444444444
295,1184,0.4392764857881137
296,1188,0.4392764857881137
297,1192,0.4496124031007752
298,1196,0.4496124031007752
299,1200,0.4418604651162791
300,1204,0.43669250645994834
301,1208,0.4263565891472868
302,1212,0.43410852713178294
303,1216,0.43410852713178294
304,1220,0.4315245478036176
305,1224,0.4418604651162791
306,1228,0.43669250645994834
307,1232,0.4315245478036176
308,1236,0.4289405684754522
309,1240,0.4289405684754522
310,1244,0.4263565891472868
311,1248,0.43410852713178294
312,1252,0.4263565891472868
313,1256,0.42118863049095606
314,1260,0.4289405684754522
315,1264,0.4263565891472868
316,1268,0.4289405684754522
317,1272,0.4289405684754522
318,1276,0.4289405684754522
319,1280,0.4289405684754522
320,1284,0.4289405684754522
